Kernel,N,W,GFlops
1,512,4,0.037428
1,512,8,0.248713
1,512,16,0.302987
1,512,32,0.283506
1,1024,4,0.033929
1,1024,8,0.285467
1,1024,16,0.331335
1,1024,32,0.313546
1,2048,4,0.043693
1,2048,8,0.301112
1,2048,16,0.332929
1,2048,32,0.314171
1,4096,4,0.042218
1,4096,8,0.305462
1,4096,16,0.338849
1,4096,32,0.299978
2,512,4,0.036094
2,512,8,0.219551
2,512,16,0.278314
2,512,32,0.255688
2,1024,4,0.034043
2,1024,8,0.248867
2,1024,16,0.303609
2,1024,32,0.376529
2,2048,4,0.055327
2,2048,8,0.267201
2,2048,16,0.404817
2,2048,32,0.386659
2,4096,4,0.053654
2,4096,8,0.336945
2,4096,16,0.381241
2,4096,32,0.375089
3,512,4,0.045807
3,512,8,0.270866
3,512,16,0.352249
3,512,32,0.366969
3,1024,4,0.038806
3,1024,8,0.300814
3,1024,16,0.330708
3,1024,32,0.370208
3,2048,4,0.054335
3,2048,8,0.279192
3,2048,16,0.398323
3,2048,32,0.381689
3,4096,4,0.053592
3,4096,8,0.316229
3,4096,16,0.376064
3,4096,32,0.371667